Package Name;Review Text
br.gov.dataprev.sinefacil;Esse sine fácil ou sine difícil? Pq já tenho mais de um mês e ñ tem nenhum vaga. Fora q ñ dar pra ver as opções de emprego... mnh opinião, antes ñ tivesse esse App ja que ñ tem serventia!
br.gov.dataprev.sinefacil;Ótimo
br.gov.dataprev.sinefacil;Eu tenho conexão com a internet, abre tudo que é app so esse Sine Facil que não abre dizendo que nao tem conexão.
br.gov.dataprev.sinefacil;Como sempre tudo que o governo faz não presta está negocio não funciona perca de tempo
br.gov.dataprev.sinefacil;Nao tem como editar!!!
br.gov.dataprev.sinefacil;
br.gov.dataprev.sinefacil;Ótimo aja estou sem trabalha a muito tempo
br.gov.dataprev.sinefacil;Interessante
br.gov.dataprev.sinefacil;Dar erro ao atualizar os dados
br.gov.dataprev.sinefacil;Não tem muitas vagas disponíveis.... Mas tem vagas boas...
br.gov.dataprev.sinefacil;Nunca aparece nada, e não é o mesmo sistema do SINE local
br.gov.dataprev.sinefacil;Ñ consegui nem me cadastra quando preenchi tudo que pedia e botava atualizar dava conexão inspirada péssimo
br.gov.dataprev.sinefacil;
br.gov.dataprev.sinefacil;Ótimo
br.gov.dataprev.sinefacil;
br.gov.dataprev.sinefacil;Como um todo precisa melhorar tipo as informações sobre o pagamento do pis seria ótimo, mesmo assim eu acho muito bom.
br.gov.dataprev.sinefacil;Muito bom
br.gov.dataprev.sinefacil;
br.gov.dataprev.sinefacil;
br.gov.dataprev.sinefacil;
br.gov.dataprev.sinefacil;Excelente
br.gov.dataprev.sinefacil;
br.gov.dataprev.sinefacil;
br.gov.dataprev.sinefacil;
br.gov.dataprev.sinefacil;Péssimo aplicativo não gostei deviam melhor mais
br.gov.dataprev.sinefacil;Desde quando atualizei na agência de emprego , não aparecem mais vagas . Preciso atualizar novamente? Apareciam bastante vagas antes😒
br.gov.dataprev.sinefacil;Otimo
br.gov.dataprev.sinefacil;
br.gov.dataprev.sinefacil;Não funciona não esa porcaria, si funcionace não tinha tanto gente nas filas dos SINE pouco vergonha
br.gov.dataprev.sinefacil;Show 👏
br.gov.dataprev.sinefacil;
br.gov.dataprev.sinefacil;Péssimo, tanto o simm quanto o sineBahia mandou eu baixar o app, porém ambos não tem o sistema igual. Nunca chegou nenhuma vaga, sendo que tenho o app há 6 meses. Isso é uma enganação!!!
br.gov.dataprev.sinefacil;Foi muito útil pra mim pois eu olhava de manhã, a tarde, e a noite e várias vezes e consegui marcar 3 entrevistas.Fui contratada por um mas preferi procurar outro e achei!
br.gov.dataprev.sinefacil;
br.gov.dataprev.sinefacil;
br.gov.dataprev.sinefacil;Muito bom
br.gov.dataprev.sinefacil;Ótimo recomendo a todos
br.gov.dataprev.sinefacil;Como tudo que é para o povo em geral, a única coisa que funciona é as dificuldades e as desculpas, pois talvez em junho ou agosto (de Deus) venha a funcionar. Não precisa me responder.
br.gov.dataprev.sinefacil;Isso e um lixo
br.gov.dataprev.sinefacil;Fácil e Prático
br.gov.dataprev.sinefacil;Amei
br.gov.dataprev.sinefacil;
br.gov.dataprev.sinefacil;Nunca consegui nada pois o certo é vocês darem oportunidades para trabalhadores mesmo não tendo experiências. Eu tenho experiências na carteira mas nunca tem vagas para o meu perfil porque ?
br.gov.dataprev.sinefacil;Aplicativo funciona bem
br.gov.dataprev.sinefacil;Muito útil
br.gov.dataprev.sinefacil;aplicativo muito bom.... mas tem melhorar mais o aviso de notificações... eu ativei pra mim receber notificações mas o aplicativo não sinalizou quando chegou vaga de emprego
br.gov.dataprev.sinefacil;
br.gov.dataprev.sinefacil;Muito bom
br.gov.dataprev.sinefacil;Sempre aparece vaga para encaminhamento.
br.gov.dataprev.sinefacil;Não está fazendo a leitura do meu QR Code
br.gov.dataprev.sinefacil;
br.gov.dataprev.sinefacil;Primeiro acesso já confirmei uma entrevista. Ótimo app, desejo a todos que baixou uma boa sorte e que Deus continue abençoando. Parabéns aos criadores deste APP.
br.gov.dataprev.sinefacil;Ótimo App graças a indicação dele hoje estou empregado
br.gov.dataprev.sinefacil;O aplicativo está faltando a Opção excluí Entrevista Agendadas. caso vaga agendada não seja mas do interesse, não temos opção excluí. Ou se teve 3 agendamento . não foi selecionado, não tem como se candidatar novamente
br.gov.dataprev.sinefacil;
br.gov.dataprev.sinefacil;
br.gov.dataprev.sinefacil;Dojo Luas excelente
br.gov.dataprev.sinefacil;Aparece vagas sim
br.gov.dataprev.sinefacil;Não funciona! Lixo
